Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
500325,RELIANCE,A,1263.80,1266.00,1245.85,1249.60,444087,5553.00,13653
500112,SBIN,A,740.55,744.05,733.60,737.25,530383,3912.00,21018
500209,INFY,A,1908.50,1908.50,1881.15,1884.40,179494,3384.00,4903
500520,M&M,A,3200.05,3276.30,3145.70,3156.05,101693,3259.00,8845
500570,TATAMOTORS,A,711.65,711.65,694.40,696.00,396171,2770.00,11781
532174,ICICIBANK,A,1259.95,1262.00,1249.15,1257.00,216195,2714.00,6561
500180,HDFCBANK,A,1715.30,1723.75,1708.90,1716.75,132003,2262.00,6403
500247,KOTAKBANK,A,1936.70,1951.85,1923.85,1947.10,110484,2142.00,15456
532540,TCS,A,4049.95,4051.95,4014.05,4039.70,49911,2012.00,4080
543320,ZOMATO,A,233.90,234.90,224.65,227.90,877018,2003.00,22122
532454,BHARTIARTL,A,1690.25,1699.50,1678.35,1688.30,116343,1965.00,6521
500875,ITC,A,427.00,433.25,426.60,428.60,387031,1664.00,15546
500820,ASIANPAINT,A,2275.00,2278.00,2254.10,2263.60,72661,1647.00,5295
500034,BAJFINANCE,A,8470.35,8481.60,8220.00,8270.55,18580,1549.00,3337
500510,LT,A,3343.85,3347.80,3295.00,3314.65,44738,1482.00,4706
500790,NESTLEIND,A,2230.05,2251.05,2209.90,2213.55,64387,1438.00,2656
500470,TATASTEEL,A,138.25,138.25,133.00,133.85,910686,1223.00,10226
532500,MARUTI,A,13050.00,13050.00,12916.10,12916.10,6698,868.00,1260
532921,ADANIPORTS,A,1148.05,1158.95,1127.25,1132.60,71551,815.00,4255
532187,INDUSINDBK,A,1079.35,1081.00,1062.45,1072.00,75576,809.00,4456
532898,POWERGRID,A,275.95,275.95,268.10,269.50,222819,603.00,6700
532978,BAJAJFINSV,A,1799.05,1804.95,1775.00,1780.85,32973,587.00,2135
500696,HINDUNILVR,A,2371.95,2398.20,2353.15,2365.00,24684,586.00,2307
532281,HCLTECH,A,1726.00,1733.25,1711.65,1724.85,26076,449.00,5086
532555,NTPC,A,316.90,316.90,309.10,309.95,119552,372.00,3468
532215,AXISBANK,A,1023.80,1024.20,1006.25,1012.70,34243,348.00,2159
500114,TITAN,A,3395.00,3422.95,3323.05,3327.50,10221,345.00,1309
524715,SUNPHARMA,A,1748.85,1749.00,1725.00,1732.45,15527,268.00,1552
532538,ULTRACEMCO,A,11500.05,11611.95,11497.75,11539.85,2209,254.00,903
532755,TECHM,A,1689.00,1690.00,1672.50,1684.95,9184,154.00,1306
